customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerSupportCalls,RecentTransactions,SatisfactionScore,DaysSinceLastInteraction
9776-CLUJA,Female,1,Yes,No,51.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.5,3807.35,Yes,3.0,2.0,6.4,78.0
9795-NREXC,Female,0,Yes,No,64.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),,5484.4,No,2.0,4.0,7.2,311.0
2669-QVCRG,Female,0,No,No,,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.3,3190.65,No,3.0,6.0,7.2,154.0
0323-XWWTN,Male,0,No,Yes,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,No,3.0,7.0,2.3,143.0
4661-NJEUX,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,20.05,No,2.0,5.0,9.4,
3977-QCRSL,Female,0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,117.95,No,0.0,5.0,2.7,
0864-FVJNJ,Female,0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,No,1.0,10.0,5.6,195.0
1809-DMJHQ,Female,0,No,Yes,,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.0,221.7,Yes,1.0,5.0,2.3,232.0
4389-UEFCZ,Female,0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105.5,7544,No,0.0,7.0,4.7,264.0
4059-IIEBK,Female,0,No,No,7.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,No,1.0,3.0,7.5,349.0
3908-BLSYF,Female,0,No,No,6.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,Yes,1.0,5.0,5.2,108.0
2040-OBMLJ,Male,0,No,No,31.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,No,2.0,5.0,8.8,201.0
2107-FBPTK,Female,1,No,No,30.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,3121.1,No,2.0,4.0,5.9,222.0
9746-UGFAC,Female,0,No,No,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.85,450.65,No,4.0,7.0,5.5,320.0
0369-ZGOVK,Female,0,Yes,Yes,28.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.4,1992.2,No,2.0,5.0,6.0,166.0
6729-GDNGC,Female,1,No,No,20.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.7,1614.2,No,0.0,5.0,4.2,146.0
0016-QLJIS,Female,0,Yes,Yes,65.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No,3.0,3.0,4.8,191.0
8398-TBIYD,Female,0,No,No,,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.7,6185.15,No,2.0,5.0,6.1,224.0
4522-AKYLR,Female,1,No,No,13.0,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.8,731.3,No,1.0,6.0,5.1,235.0
7446-SFAOA,Female,0,Yes,No,37.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,717.5,No,3.0,4.0,3.4,191.0
4701-AHWMW,Male,0,Yes,No,55.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),54.55,2978.3,Yes,4.0,7.0,3.7,125.0
8812-ZRHFP,Female,0,Yes,Yes,30.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,86.45,2538.05,No,2.0,2.0,8.5,136.0
8232-CTLKO,Female,0,Yes,Yes,66.0,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,59.75,3996.8,No,2.0,7.0,4.3,
7531-GQHME,Male,0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,265.45,No,5.0,6.0,5.5,239.0
0585-EGDDA,Male,0,Yes,No,40.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.0,3168.75,No,0.0,5.0,4.7,0.0
3275-RHRNE,Male,0,Yes,Yes,,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.0,1682.05,No,1.0,5.0,5.2,174.0
6713-OKOMC,Female,0,No,No,10.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0.0,7.0,1.2999999999999998,365.0
3133-PZNSR,Male,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),,6991.6,No,5.0,8.0,4.6,240.0
2947-DOMLJ,Male,0,No,Yes,1.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.6,50.6,Yes,0.0,4.0,4.0,0.0
7694-VLBWQ,Male,0,Yes,No,67.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,,7040.85,Yes,4.0,3.0,4.8,153.0
4884-TVUQF,Female,1,No,No,57.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.3,5779.6,No,3.0,6.0,5.8,51.0
9648-BCHKM,Female,0,Yes,Yes,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.65,471.35,No,0.0,5.0,2.7,166.0
5130-YPIRV,Female,0,Yes,No,62.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),,4284.2,No,1.0,5.0,3.2,111.0
8092-NLTGF,Male,0,No,No,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,1777.6,No,4.0,4.0,6.5,250.0
7558-IMLMT,Male,0,Yes,Yes,67.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.8,1411.9,No,2.0,4.0,4.0,0.0
5811-IWXYM,Female,0,Yes,Yes,52.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),101.25,5301.1,No,0.0,8.0,3.1,281.0
7826-VVKWT,Female,1,Yes,Yes,24.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,,2263.45,No,1.0,4.0,1.7999999999999998,93.0
8816-VXNZD,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,,75.1,Yes,2.0,4.0,2.3,149.0
1017-FBQMM,Female,0,Yes,Yes,62.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106.05,6703.5,No,2.0,5.0,1.0,204.0
2324-EFHVG,Male,0,No,No,64.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.4,6692.65,No,3.0,1.0,4.4,178.0
1932-UEDCX,Male,1,Yes,No,33.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),,3270.25,No,0.0,7.0,5.1,237.0
4445-ZJNMU,Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,2.0,4.0,5.1,89.0
4822-NGOCH,Female,0,No,No,13.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.45,1058.6,Yes,3.0,6.0,2.9,166.0
3066-RRJIO,Female,0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.95,69.95,Yes,3.0,8.0,4.6,158.0
2636-OHFMN,Male,0,Yes,No,4.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.55,201,Yes,3.0,3.0,9.8,122.0
1599-MMYRQ,Male,0,Yes,Yes,62.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),81.45,4983.05,No,2.0,9.0,4.1,265.0
6479-VDGRK,Female,0,Yes,Yes,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.3,6129.2,No,0.0,5.0,3.8,296.0
1371-OJCEK,Female,0,No,No,48.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.35,1133.7,No,3.0,4.0,4.6,215.0
2292-XQWSV,Male,0,Yes,Yes,40.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,60.3,2448.5,No,3.0,7.0,3.7,
4006-HKYHO,Male,0,No,No,63.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.7,5309.5,No,1.0,6.0,6.5,236.0
7657-DYEPJ,Male,1,No,No,38.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.15,2497.35,Yes,0.0,5.0,1.0,44.0
5494-WOZRZ,Female,0,Yes,Yes,71.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.0,5999.85,No,0.0,3.0,3.7,154.0
9391-YZEJW,Female,0,No,No,62.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),,5757.2,No,2.0,10.0,4.3,271.0
0839-JTCUD,Female,0,Yes,Yes,,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,No,0.0,5.0,2.0,326.0
6131-JLWZM,Female,0,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,275.4,No,1.0,7.0,5.5,164.0
4398-HSCJH,Female,0,No,No,3.0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,63.6,155.65,Yes,5.0,10.0,4.1,248.0
9570-KYEUA,Male,0,No,No,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),99.25,6549.45,No,1.0,4.0,,187.0
7579-OOPEC,Female,1,Yes,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.15,115.1,Yes,2.0,1.0,3.5,214.0
9067-SQTNS,Male,0,Yes,Yes,44.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.6,926,No,0.0,5.0,4.6,0.0
6115-ZTBFQ,Female,0,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.5,4919.7,No,0.0,8.0,6.0,139.0
3096-JRDSO,Female,1,Yes,No,27.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.3,2867.75,Yes,1.0,5.0,3.6,
2002-MZHWP,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,20.5,Yes,0.0,5.0,4.7,201.0
5639-NTUPK,Male,0,No,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.1,670.65,No,3.0,4.0,1.1,
3352-ALMCK,Male,0,No,No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.65,4108.15,No,2.0,0.0,5.5,165.0
0137-UDEUO,Female,0,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,Yes,2.0,6.0,4.3,157.0
4324-AHJKS,Female,0,No,No,5.0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.8,300.4,No,4.0,6.0,6.3,208.0
0793-TWELN,Female,0,No,No,4.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,240.28114649676783,319.85,No,3.0,0.0,5.4,66.0
0455-ENTCR,Male,0,Yes,No,66.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35,No,3.0,10.0,3.9,137.0
5055-BRMNE,Female,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),106.7,7009.5,No,1.0,6.0,5.2,143.0
9838-BFCQT,Male,0,Yes,Yes,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.1,1851.45,No,3.0,6.0,3.2,200.0
6234-PFPXL,Male,0,Yes,No,22.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,No,3.0,4.0,5.2,167.0
5016-ETTFF,Male,0,No,No,10.0,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,29.5,255.25,Yes,5.0,7.0,3.7,97.0
7538-GWHML,Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15,Yes,4.0,5.0,6.6,59.0
8561-NMTBD,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),307.2468384534063,7388.45,No,1.0,8.0,6.0,198.0
9932-WBWIK,Male,0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,215.25,No,0.0,5.0,5.1,269.0
2626-VEEWG,Male,0,Yes,Yes,67.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,No,0.0,4.0,7.4,82.0
2391-SOORI,Male,0,No,Yes,4.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,219.65,Yes,3.0,5.0,2.9,279.0
5839-SUYVZ,Male,0,No,No,16.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No,3.0,6.0,4.3,0.0
4727-MCYZG,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,55.55,55.55,No,1.0,2.0,6.0,178.0
6874-SGLHU,Male,0,No,No,30.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.0,3021.3,No,0.0,1.0,5.3,262.0
6402-EJMWF,Male,0,No,No,4.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5,No,2.0,2.0,3.7,225.0
6372-RFVNS,Female,0,Yes,No,,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,Yes,1.0,4.0,4.6,262.0
6461-PPAXN,Female,0,Yes,Yes,,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.95,1916,No,1.0,2.0,6.4,226.0
3325-FUYCG,Male,0,Yes,Yes,28.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,,2847.4,Yes,1.0,7.0,5.9,0.0
2469-DTSGX,Female,1,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,No,2.0,3.0,6.4,178.0
3533-UVMOM,Male,0,Yes,No,68.0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),70.95,4741.45,No,4.0,5.0,6.3,359.0
3144-AUDBS,Female,0,Yes,No,6.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.15,270.8,Yes,3.0,2.0,4.5,187.0
9391-LMANN,Male,0,No,Yes,53.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,95.95,5036.9,No,1.0,5.0,2.9,220.0
7825-GKXMW,Female,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,,45.8,Yes,0.0,4.0,8.4,121.0
9702-AIUJO,Male,0,Yes,Yes,50.0,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.8,2230.85,No,4.0,8.0,6.1,83.0
9506-UXUSK,Male,0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,931.75,No,2.0,3.0,4.5,177.0
2592-SEIFQ,Male,0,No,No,3.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.75,66.95,Yes,3.0,4.0,5.5,230.0
5895-QSXOD,Male,0,No,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.05,657.5,No,2.0,5.0,7.0,200.0
3071-VBYPO,Male,0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,,248.4,No,4.0,5.0,4.9,309.0
3217-FZDMN,Female,1,No,No,8.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.45,742.95,Yes,4.0,3.0,8.3,79.0
1447-PJGGA,Female,0,No,No,57.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,5464.65,Yes,3.0,5.0,2.9,281.0
9620-QJREV,Male,0,No,Yes,47.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,No,0.0,9.0,3.7,164.0
6429-SHBCB,Male,0,No,No,19.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.6,1394.55,No,4.0,8.0,2.7,
7363-QTBIW,Female,0,Yes,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.75,769.1,No,3.0,7.0,5.6,150.0
9494-MRNYX,Male,0,No,No,10.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.05,786.3,No,0.0,2.0,3.3,289.0
8084-OIVBS,Female,0,No,No,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,211.95,No,4.0,7.0,3.4,39.0
5159-YFPKQ,Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,Yes,1.0,4.0,1.0,165.0
8610-WFCJF,Female,0,Yes,Yes,49.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,4783.5,Yes,2.0,5.0,7.4,163.0
9073-ZZIAY,Male,0,Yes,Yes,62.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,,5215.25,No,2.0,5.0,2.5,103.0
5656-JAMLX,Male,0,No,No,62.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1253.65,No,1.0,6.0,6.4,101.0
5044-LRQAQ,Female,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.2,477.55,No,0.0,6.0,7.0,120.0
1137-DGOWI,Female,0,Yes,No,30.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),70.25,2198.9,No,6.0,7.0,4.7,211.0
0843-WTBXE,Male,0,No,No,53.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.45,4517.25,Yes,4.0,4.0,3.0,123.0
0848-ZGQIJ,Female,0,Yes,No,16.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.65,1461.15,No,3.0,6.0,6.4,162.0
0064-YIJGF,Male,0,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,No,3.0,2.0,3.2,365.0
3800-LYTRK,Female,0,No,No,14.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,55.7,795.15,No,1.0,9.0,1.0,160.0
8316-BBQAY,Female,0,No,No,65.0,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),,3921.1,No,5.0,7.0,2.7,0.0
0020-JDNXP,Female,0,Yes,Yes,34.0,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No,4.0,1.0,2.1,212.0
7188-CBBBA,Female,0,No,No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,6153.85,No,1.0,6.0,7.3,115.0
0040-HALCW,Male,0,Yes,Yes,54.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No,2.0,4.0,,71.0
8034-RYTVV,Female,0,No,No,55.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),84.25,4589.85,No,1.0,4.0,4.9,152.0
1089-HDMKP,Male,1,No,Yes,11.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.55,601.25,No,4.0,5.0,2.2,91.0
7198-GLXTC,Male,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,Yes,3.0,6.0,1.7999999999999998,298.0
5846-QFDFI,Female,0,Yes,Yes,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No,1.0,4.0,8.4,101.0
4404-HIBDJ,Female,0,No,No,,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,74.3,1863.8,Yes,0.0,9.0,4.6,229.0
6719-OXYBR,Male,0,No,No,15.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.3,1219.85,No,4.0,3.0,6.5,154.0
5734-EJKXG,Female,0,No,No,61.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,118.6,7365.7,No,2.0,4.0,6.5,132.0
0637-KVDLV,Male,0,No,No,,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,162.45,Yes,4.0,3.0,6.7,128.0
7508-MYBOG,Male,0,Yes,No,14.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.1,1235.55,Yes,1.0,4.0,,309.0
1561-BWHIN,Male,0,Yes,Yes,19.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,344.5,No,1.0,6.0,6.0,234.0
5650-VDUDS,Female,0,No,No,4.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.7917653245522,96.05,Yes,2.0,4.0,2.1,290.0
8265-HKSOW,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),,7658.3,No,2.0,7.0,6.4,28.0
9953-ZMKSM,Male,0,No,No,63.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.25,1559.3,No,3.0,9.0,2.3,233.0
2972-YDYUW,Female,0,No,No,57.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,94.7,5468.95,No,2.0,7.0,5.9,0.0
7225-CBZPL,Male,1,Yes,No,17.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,1563.9,No,2.0,5.0,4.1,365.0
7602-MVRMB,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),,8058.85,No,1.0,8.0,7.2,152.0
5293-WXJAK,Female,1,Yes,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),,1133.65,Yes,4.0,6.0,1.7999999999999998,214.0
8338-QIUNR,Male,0,Yes,Yes,,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66.5,4811.6,No,3.0,6.0,7.1,172.0
3384-CTMSF,Male,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,5135.15,No,1.0,7.0,3.8,101.0
9172-JITSM,Female,0,Yes,Yes,26.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,Yes,7.0,3.0,6.5,121.0
4544-RXFMG,Male,0,Yes,Yes,8.0,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,43.45,345.5,No,0.0,6.0,,176.0
0864-FVJNJ,Female,0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,No,4.0,4.0,3.0,72.0
7396-VJUZB,Male,0,Yes,Yes,4.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,155.35,No,1.0,3.0,5.8,172.0
2830-LEWOA,Male,0,Yes,Yes,61.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),103.9,6449.15,No,3.0,4.0,5.4,365.0
5944-UGLLK,Male,0,No,No,53.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),,3045.75,No,4.0,5.0,3.9,301.0
7311-MQJCH,Female,0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.55,99.6,No,2.0,5.0,5.3,264.0
